    ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,Premax to frontal,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW00321,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WALLOWA CO,"MI. POST # 1, MINAM RIVER",,,45.5600,-117.73,45,34,,N,117,44,,W,,,APR,1968,,Female,N,,"V.L. COGGINS, -",N,SKULL ONLY,,N,9.23,14.74,3.69,2.55,2.04,33.07,2.38,6.43,350.00,140.00,35.00,26.00,246.40
FW01739,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 2 MI. SW TERREBONNE",,,44.3461,-121.18,0,0,,N,0,0,,W,,30,SEP,1982,,Male,TESTIS 3 X 5 MM,Juv,L.N. CARRAWAY AND B.J. VERTS,B.J. VERTS,SKIN AND SKULL,,N,9.70,13.33,3.23,2.69,2.02,31.34,2.22,6.21,331.00,139.00,41.00,33.00,193.20
FW02246,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"3 MI. N, 1 MI. W REDMOND",,,44.3100,-121.27,44,19,,N,121,16,,W,,5,NOV,1972,3200,Male,TESTIS 6 X 3 MM,Ad ,"T. HALL, TD-72-6",N,SKIN AND SKULL,,N,8.82,13.75,3.44,2.36,1.92,29.94,2.14,6.05,307.00,124.00,34.00,28.00,209.50
FW02267,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,CROOK CO,"1 MI. N, 5 MI. E OF PRINEVILLE",,,44.3100,-120.74,44,19,,N,120,44,,W,,4,NOV,1972,3000,Female,TESTIS 8 X 5MM,Juv,"R. DEWANTE, RD-72-5",N,SKIN AND SKULL,,N,9.81,14.84,3.57,2.29,2.20,32.82,2.14,6.41,381.00,160.00,46.00,34.00,346.10
FW02352,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LANE CO,MERCER,,,43.9600,-124.10,43,58,,N,124,6,,W,,16,NOV,1913,,Male,N,,"H. TELFORD, 36",N,SKIN AND SKULL,,N,9.76,15.14,3.62,2.54,2.15,34.03,2.21,6.40,394.00,188.00,45.00,,
FW02353,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,43.6600,-121.80,43,40,,N,121,48,,W,,9,APR,1914,,Female,N,,"O.J. MURIE, 258",N,SKIN AND SKULL,,N,9.02,14.18,3.43,2.64,2.34,32.53,2.22,6.07,351.00,154.00,42.00,,
FW02356,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,45.6300,-120.88,45,38,,N,120,53,,W,,29,JUL,1914,,Male,N,,"A. WALKER, 155",N,SKIN AND SKULL,,N,10.22,13.97,3.64,2.64,2.27,34.46,2.43,6.67,370.00,168.00,41.00,,
FW02358,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,43.6600,-121.80,43,40,,N,121,48,,W,,4,APR,1914,,Male,N,,"O.J. MURIE, 242",N,SKIN AND SKULL,,N,9.17,14.39,3.57,2.58,2.19,31.70,2.55,6.18,362.00,162.00,43.00,,
FW02359,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE, EAST",,,45.6300,-120.88,45,38,,N,120,53,,W,,27,JUL,1914,,Male,N,,"A. WALKER, 148",N,SKIN AND SKULL,,N,9.78,13.76,3.52,2.50,2.26,32.87,2.24,6.29,340.00,152.00,40.00,,
FW02360,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,45.6300,-120.88,45,38,,N,120,53,,W,,3,AUG,1914,,Male,N,,"A. WALKER, 174",N,SKIN AND SKULL,,N,10.14,13.63,4.02,2.55,2.36,31.88,2.14,6.79,,,,,
FW02362,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,43.6600,-121.80,43,40,,N,121,48,,W,,4,APR,1914,,Male,N,,"O.J. MURIE, 243",N,SKIN AND SKULL,,N,10.20,17.17,3.62,2.72,2.09,35.96,2.33,6.56,402.00,180.00,47.00,,
FW02363,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,43.6600,-121.80,43,40,,N,121,48,,W,,5,APR,1914,,Female,N,,"O.J. MURIE, 245",N,SKIN AND SKULL,,N,9.53,14.35,3.59,2.89,1.97,,2.40,6.52,358.00,158.00,44.00,,
FW02364,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,12 MI. SE HAY CREEK,,,44.4800,-120.94,44,29,,N,120,56,,W,,21,MAY,1915,,Female,N,,"A. WALKER, 271",N,SKIN AND SKULL,,N,9.61,14.46,3.54,2.53,2.52,33.75,2.43,6.22,358.00,160.00,39.00,,
FW02365,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,43.6600,-121.80,43,40,,N,121,48,,W,,5,APR,1914,,Male,N,,"O.J. MURIE, 244",N,SKIN AND SKULL,,N,9.42,14.85,3.50,2.42,2.27,33.22,2.23,6.42,367.00,165.00,42.00,,
FW02366,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,KLAMATH CO,FORT KLAMATH,,,42.7000,-121.96,42,42,,N,121,58,,W,,28,FEB,1914,,Male,N,,"H. TELFORD, 136",N,SKIN AND SKULL,,N,9.44,16.32,4.02,2.30,2.21,36.38,2.11,6.41,387.00,165.00,42.00,,
FW02367,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,SISTERS,,,44.3000,121.55,44,18,,N,121,33,,W,,24,JUL,1914,,Female,N,,"S.G. JEWETT, 518",N,SKIN AND SKULL,,N,9.10,15.50,3.49,2.42,1.98,34.82,2.27,6.25,370.00,163.00,43.00,,
FW02369,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,45.6300,-120.88,45,38,,N,120,53,,W,,28,JUL,1914,,Male,N,,"A. WALKER, AW-152",N,SKIN AND SKULL,,N,9.31,12.17,3.35,2.41,2.03,30.23,2.18,6.04,320.00,137.00,42.00,,
FW02370,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"CATLOW VALLEY, HOME CREEK RANCH",,,42.6800,-119.20,42,41,,N,119,12,,W,,,SEP,1913,,,N,,"S.G. JEWETT, SGJ-326",N,SKIN AND SKULL,,N,9.52,13.68,3.32,2.49,2.31,32.17,2.24,6.07,356.00,165.00,46.00,,
FW02379,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,HAY CREEK,,,44.6100,-120.93,44,37,,N,120,56,,W,,19,MAY,1915,,Male,N,,"A. WALKER, 265",N,SKIN AND SKULL,,N,9.45,11.38,3.19,2.60,1.91,,1.93,6.25,285.00,121.00,40.00,,
FW02404,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,45.6300,-120.88,45,38,,N,120,53,,W,,1,AUG,1914,,,N,,"A. WALKER, AW-168",N,SKIN ONLY,,N,,,,,,,,,,,,,
FW02410,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,HAY CREEK,,,44.6100,-120.93,44,37,,N,120,56,,W,,19,MAY,1915,,,N,,"A. WALKER, 268",N,SKIN ONLY,,N,,,,,,,,,,,,,
FW02417,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"16 MI. E NORTH BEND, EAST FORK MILLICOMA",,,44.0600,-120.99,44,4,,N,120,59,,W,,24,MAY,1969,,Female,"PREGNANT, 3 FETUSES SIZE OF WALNUT",Ad ,"L. KUHN, -",N,SKIN AND SKULL,,N,10.33,15.07,3.97,2.69,2.61,35.63,2.47,6.93,370.00,170.00,42.00,,
FW02488,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"9 MI. S, 2 MI. E BURNS",,,43.3500,-119.01,43,21,,N,119,1,,W,,27,NOV,1971,4500,Male,TESTIS 4 X 2 MM,Ad,"D. HINO, DWH-4",N,SKIN AND SKULL,,N,10.09,14.43,3.74,2.49,2.44,33.55,2.34,6.64,383.00,175.00,41.00,34.00,289.30
FW02750,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. E REDMOND, REDMOND AIR CENTER",,,44.2700,-121.15,44,16,,N,121,9,,W,,25,AUG,1973,3400,Male,N,Ad,"J. DUBE, JRD-1-73",N,SKIN AND SKULL,,N,9.67,15.16,3.93,2.74,2.48,34.80,2.42,6.48,390.00,155.00,39.00,35.00,350.00
FW02852,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,"1 MI. N, 3 MI. W CULVER",,,44.5300,-121.27,44,32,,N,121,16,,W,,12,OCT,1974,3000,Male,TESTIS 3 X 2 MM,Juv,"M. LALLY, MKL-74-3",N,SKIN AND SKULL,,N,9.45,13.01,3.62,2.39,2.00,31.66,2.30,6.38,320.00,126.00,38.00,29.00,137.00
FW02853,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,"1 MI. N, 3 MI. W CULVER",,,44.5300,-121.27,44,32,,N,121,16,,W,,12,OCT,1974,3000,Male,TESTIS 7 X 4 MM,Ad,"D. WEYERMANN, DLW-74-4",N,SKIN AND SKULL,,N,9.89,14.24,3.93,2.52,2.17,33.25,2.35,6.82,354.00,150.00,43.00,37.00,247.70
FW02912,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,9 MI. E BEND,,,44.0500,-121.12,44,3,,N,121,7,,W,,13,OCT,1974,3500,Female,"IMPLANTATION SITES: 1L, 1R",Ad,"G. JACKSON, GSJ-74-02",N,SKIN AND SKULL,,N,10.02,13.02,3.77,2.60,2.40,31.92,2.19,6.54,348.00,147.00,40.00,35.00,211.50
FW02926,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. N, 2 MI. W TERREBONNE, UPPER DESCHUTES CANYON",,,44.3500,121.21,44,21,,N,121,13,,W,,25,OCT,1975,3000,Female,N,Juv,"B. PRICE, -",B. VERTS,SKIN AND SKULL,,N,9.49,13.43,3.55,2.25,2.20,31.48,2.11,6.25,327.00,134.00,39.00,33.00,192.90
FW03176,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 3 MI. W TERREBONNE",,,44.3500,-121.23,44,21,,N,121,14,,W,,26,SEP,1976,3400,Male,TESTIS 5 X 4 MM,Juv,R. DEERING,"B.J. VERTS, BJV-76-48",SKIN AND SKULL,,N,9.63,13.56,3.68,2.60,2.51,31.88,2.08,6.44,344.00,151.00,41.00,34.00,199.60
FW03177,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,27,SEP,1976,3200,Female,"PLACENTAL SCARS: 2L, 1R",Ad,R. DEERING,"B.J. VERTS, BJV-76-49",SKIN AND SKULL,,N,9.51,14.66,3.63,2.60,2.20,34.14,2.27,6.60,336.00,127.00,42.00,33.00,259.50
FW03180,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,2,OCT,1976,3400,Female,NULLIPAROUS,Juv,R. DEERING,"B.J. VERTS, BJV-76-50",SKIN AND SKULL,,N,9.44,14.18,3.51,2.39,2.33,32.31,1.98,6.17,351.00,155.00,40.00,34.00,207.90
FW03261,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 2 MI. W TERREBONNE",,,44.3400,-121.29,44,20,,N,121,17,,W,,7,MAY,1977,3100,Female,N,Ad,R. DEERING,"B.J. VERTS, BJV-77-7",SKIN AND SKULL,,N,9.61,14.66,4.05,2.57,2.60,34.77,2.44,6.66,362.00,153.00,40.00,34.00,270.20
FW03533,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"1 MI. N, 6 MI. W WAMIC",,,45.2300,-121.37,45,14,,N,121,22,,W,,25,JUL,1978,,Male,N,Juv,"B. VERTS, BJV-78-14",N,SKIN AND SKULL,,N,9.74,10.67,3.46,2.45,2.27,,2.08,6.86,281.00,122.00,43.00,32.00,102.60
FW03534,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"1 MI. N, 6 MI. W WAMIC, BONNEY CROSSING CAMPGROUND",,,45.2300,-121.37,45,14,,N,121,22,,W,,25,JUL,1978,,Male,N,Juv,"B. VERTS, BJV-78-13",N,SKIN AND SKULL,,N,9.27,10.35,3.19,2.63,2.17,28.41,1.96,6.09,271.00,119.00,41.00,32.00,99.10
FW03845,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,GRANT CO,"1 MI. N, 10.5 MI. E LONG CREEK, T10S, R32E, SEC. 4, (KA",HLER BUTTE)KAHLER BUTTE,"T10S, R32E, SEC. 4",44.7300,-118.90,44,44,,N,118,54,,W,,20,JUL,1979,,Male,N,vJuv,"E. McMAHON, EEM-81",N,SKIN AND SKULL,,N,9.01,10.46,3.47,2.50,1.54,25.75,2.19,6.36,230.00,110.00,37.00,26.00,80.00
FW03851,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"6 MI. W WAMIC, T4S, R11E, SEC. 11, ROCK CREEK",,"T4S, R11E, SEC. 11",45.2400,-121.38,45,14,,N,121,23,,W,,25,JUL,1979,2500,Female,"PLACENTAL SCARS: 2L, 2R",Ad,"K. HUNDERTMARK, KJH-79-2",N,SKIN AND SKULL,,N,9.70,15.87,3.87,2.76,2.36,35.00,2.45,6.89,392.00,173.00,43.00,26.00,289.40
FW03852,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"6 MI. W WAMIC, T4S, R11E, SEC. 11, ROCK CREEK",,"T4S, R11E, SEC. 11",45.2400,-121.38,45,14,,N,121,23,,W,,25,JUL,1979,2500,Male,N,Ad,"K. HUNDERTMARK, KJH-79-1",N,SKIN AND SKULL,,N,9.67,14.65,3.55,2.38,2.06,33.43,2.27,6.24,396.00,175.00,49.00,31.00,268.60
FW03870,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,12,SEP,1979,3000,Male,TESTIS 7 X 5 MM,Juv,K. HUNDERTMARK,"B. VERTS, X-18",SKIN AND SKULL,,N,9.78,15.74,3.41,2.45,1.99,35.00,2.26,6.47,382.00,165.00,44.00,37.00,301.60
FW03871,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,12,SEP,1979,3000,Female,"PLACENTAL SCARS: 3L, 3R",Ad ,K. HUNDERTMARK,"B. VERTS, X-20",SKIN AND SKULL,,N,9.82,14.45,3.67,2.72,1.91,33.44,2.42,6.65,365.00,156.00,41.00,36.00,241.10
FW03872,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,16,APR,1979,3000,Female,"PLACENTAL SCARS: 3L, 1R",Ad ,K. HUNDERTMARK,"L.N.T. CARRAWAY, X-24",SKIN AND SKULL,,N,10.05,14.90,3.61,2.47,2.27,32.44,2.39,6.21,370.00,151.00,43.00,33.00,301.20
FW04204,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,6,OCT,1979,3000,Male,TESTIS 11 X 5 MM,Ad,B. VERTS,"D. HOGE, DPH-79-2",SKIN AND SKULL,,N,10.43,15.01,3.81,2.82,2.52,36.20,2.62,6.75,374.00,145.00,39.00,34.00,359.30
FW04205,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,6,OCT,1979,3000,Male,TESTIS 6 X 4 MM,Ad,B. VERTS,"M. EVANS, MBE-79-2",SKIN AND SKULL,,N,10.03,13.66,3.76,2.70,2.09,32.11,2.43,6.87,356.00,150.00,40.00,31.00,252.60
FW04208,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,6,OCT,1979,3000,Male,TESTIS 6 X 4 MM,Ad,B. VERTS,"M. FINK, MJF-79-2",SKIN AND SKULL,,N,9.85,13.22,3.71,2.32,2.19,32.55,2.24,6.43,,181.00,39.00,30.00,
FW04934,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"4 MI. W TERREBONNE, T14S, R13E",,"T14S, R13E",44.3500,-121.35,44,21,,N,121,21,,W,,16,JUN,1980,,Female,N,Juv,S. GEHMAN,"B.J. VERTS, X-106",SKIN AND SKULL,,N,9.38,11.80,3.15,2.50,1.75,27.88,1.99,6.14,293.00,128.00,39.00,31.00,124.30
FW04935,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"4 MI. W TERREBONNE, T14S, R13E",,"T14S, R13E",44.3500,-121.23,44,21,,N,121,14,,W,,16,JUN,1980,,Male,N,Juv,S. GEHMAN,"B.J. VERTS, X-108",SKIN AND SKULL,,N,9.08,12.02,3.34,2.27,1.85,29.17,2.09,5.77,297.00,127.00,41.00,33.00,138.20
FW05148,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,44.3500,-121.25,44,21,,N,121,15,,W,,11,OCT,1980,3000,Male,N,Ad,B.J. VERTS,"D. ALLARD, DA-80-2",SKIN AND SKULL,,N,9.79,13.80,3.46,2.40,2.26,31.13,2.08,6.13,356.00,148.00,23.00,37.00,187.10
FW05494,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"4 MI. W TERREBONNE, COTTONTAIL LANE",,,44.3500,-121.23,44,21,,N,121,14,,W,,17,OCT,1981,3000,Male,TESTIS 5 MM,Ad,B. VERTS,"V. MIZNER, VM-81-2",SKIN AND SKULL,,N,9.55,14.21,3.20,2.47,2.12,33.34,2.30,6.15,370.00,160.00,43.00,39.00,212.10
FW05510,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,44.3500,-121.25,44,21,,N,121,15,,W,,17,OCT,1981,2500,Female,NULLIPAROUS,Juv,B. VERTS,"P.F. LUCAS, PFL-02",SKIN AND SKULL,,N,9.54,12.81,3.62,2.42,1.97,31.75,2.33,6.31,325.00,140.00,35.00,34.00,159.50
FW05517,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,44.3500,-121.25,44,21,,N,121,15,,W,,17,OCT,1981,3000,Male,TESTIS 5 X 3 MM,Juv,B. VERTS,"R. WEIDMAN, RW-003",SKIN AND SKULL,,N,9.35,14.40,3.49,2.47,2.01,33.26,2.26,5.97,345.00,148.00,41.00,34.00,252.40
FW05540,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,44.3500,-121.25,44,21,,N,121,15,,W,,26,JUN,1981,,Female,"PLACENTAL SCARS: 3L, 4R",Ad,S. GEHMAN,"B.J. VERTS, X-127",SKIN AND SKULL,,N,9.51,15.07,3.42,2.58,2.06,35.08,2.36,6.44,381.00,166.00,40.00,34.00,208.10
FW05541,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,44.3500,-121.25,44,21,,N,121,15,,W,,7,MAY,1981,,Male,TESTIS 3 X 2 MM,Ad,S. GEHMAN,"B.J. VERTS, X-128",SKIN AND SKULL,,N,9.67,12.56,3.45,2.55,2.13,30.08,2.20,6.11,324.00,139.00,41.00,32.00,154.10
FW06368,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,13,MAY,1981,3000,Male,TESTIS 5 X 3 MM,Juv,"S. GEHMAN, SDG-81-58",N,SKIN AND SKULL,,N,9.05,10.65,3.34,2.45,1.99,26.97,2.15,6.31,251.00,102.00,35.00,25.00,87.30
FW06374,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T33S, R33E, SEC. 2",,,42.7000,-118.58,42,42,,N,118,35,,W,,14,JUL,1954,8400,Male,N,,"C.G. AND P.A. HANSEN, CGH/PAH-483",N,SKIN AND SKULL,,N,9.75,14.17,3.37,2.58,2.30,,2.07,6.30,390.00,175.00,47.00,32.00,
FW06380,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T33S, R34E, SEC. 3",,,42.7000,-118.48,42,42,,N,118,29,,W,,31,AUG,1954,5000,Male,N,Ad,"C.G. AND P.A. HANSEN, CGH/PAH-553",N,SKIN AND SKULL,,N,8.29,10.71,3.37,2.24,1.83,28.25,2.09,5.89,394.00,175.00,45.00,35.00,
FW06381,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,KLAMATH CO,"CRATER LAKE NATIONAL PARK, SUPERINTENDENT'S HOUSE",,,42.9000,-122.15,42,54,,N,122,9,,W,,10,JUL,1947,0,Female,4 EMBRYOS,,"O.L. WALLIS, 470710-1",N,SKIN AND SKULL,,N,9.28,14.59,3.58,2.46,2.37,33.37,2.40,6.27,365.50,163.50,43.00,31.00,
FW06383,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,LOWER BRIDGE,,,44.3500,-121.28,44,21,,N,121,17,,W,,4,MAY,1962,,Female,N,,"M. NAIL, MN-29",N,SKIN AND SKULL,,N,9.92,13.69,3.77,2.38,2.05,31.56,2.23,6.72,380.00,160.00,43.00,26.00,234.00
FW06456,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,44.3500,-121.23,44,21,,N,121,14,,W,,7,MAY,1981,3000,Male,N,Juv,"S. GEHMAN, SDG-81-57",N,SKIN AND SKULL,,N,9.42,11.35,3.45,2.53,1.99,28.15,1.99,6.27,287.00,116.00,35.00,31.00,118.40
FW06534,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"TUMALO CREEK, BEND",,,44.0600,-121.30,44,4,,N,121,18,,W,,6,MAY,1925,3852,Female,N,,"A. WALKER, AW-448",N,SKIN AND SKULL,,ALEX WALKER 848,9.73,14.21,3.48,2.28,2.02,32.33,2.39,6.07,340.00,143.00,39.00,,
FW06535,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,"14 MI. SW ADEL, WARNER MOUNTAINS, BARLEY CAMP, T41S, R2","1E, EAST EDGE SEC. 8WARNER MOUNTAINS",,42.0300,-120.26,42,2,,N,120,16,,W,,13,JUL,1930,0,Male,N,,"R.R. WALKER, RRW-834",N,SKIN AND SKULL,,ALEX WALKER 849,10.16,14.15,3.59,2.43,2.13,31.01,2.19,6.45,370.00,154.00,45.00,,
FW06536,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,"14 MI. SW ADEL, WARNER MOUNTAINS, BARLEY CAMP, T41S, R2","1E, EAST EDGE SEC. 8WARNER MOUNTAINS",,42.0300,-120.26,42,2,,N,120,16,,W,,14,JUL,1930,0,Female,N,,"R.R. WALKER, RRW-835",N,SKIN AND SKULL,,ALEX WALKER 850,9.42,14.20,3.18,2.47,2.14,32.55,2.05,6.14,368.00,156.00,42.00,,
FW06865,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"3.25 MI. S, 8.5 MI. E FRENCHGLEN",,"T32S, R32 3/4 E, SEC. 20",42.7800,-118.73,42,47,,N,118,44,,W,,30,JUN,1982,,Female,NULLIPAROUS,Juv,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-28",SKIN AND SKULL,,N,9.72,11.54,3.78,2.42,1.82,29.10,1.94,6.44,293.00,121.00,40.00,32.00,129.50
FW06879,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"12 MI. S, 5 MI. E FIELDS, RED POINT SCHOOLHOUSE",,"T40S, R35E, SEC. 23",42.1000,-118.58,42,6,,N,118,35,,W,,28,JUN,1982,,Female,NULLIPAROUS,Juv,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-20",SKIN AND SKULL,,N,9.64,12.39,3.52,2.47,2.13,31.53,2.14,6.43,349.00,148.00,41.00,37.00,195.60
FW07069,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES,"1 MI. S, 2 MI. W TERREBONNE",,,44.3461,-121.18,,,,,,,,,,30,SEP,1982,,Female,NULLIPAROUS,Juv,L.N.T. CARRAWAY & B.J. VERTS,"B.J. VERTS, BJV-37",SKIN AND SKULL,,,9.96,13.77,3.71,2.18,1.93,32.65,2.14,6.51,338.00,148.00,40.00,32.00,152.20
FW07113,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S., 3 MI. W TERREBONNE",,,44.3500,-121.25,44,21,,N,121,15,,W,,9,OCT,1982,3100,Male,,Juv,B.J. VERTS & L.N. CARRAWAY,"D. DESMOND, DBD-003",,,,9.54,12.90,3.58,2.44,1.76,30.89,2.12,6.25,330.00,130.00,35.00,28.00,146.00
