 ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW02853,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,"1 MI. N, 3 MI. W CULVER",,,,,44,32,,N,121,16,,W,,12,OCT,1974,3000,Male,TESTIS 7 X 4 MM,Ad,"D. WEYERMANN, DLW-74-4",N,SKIN AND SKULL,,N,9.53,7.43,3.68,2.61,2.44,1.81,6.43,354.00,150.00,43.00,37.00,247.70
FW02892,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"10 MI. S, 0.5 MI. W CORVALLIS",,,,,44,25,,N,123,15,,W,,3,DEC,1974,500,Male,TESTIS 13 X 5 MM,Ad,"G. COSPER, GC-74-2",N,SKIN AND SKULL,,N,9.29,8.79,3.51,2.61,2.51,2.09,6.45,447.00,213.00,38.00,32.00,328.40
FW02901,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,JACKSON CO,"1 MI. N, 4 MI. E ASHLAND",,,,,42,13,,N,122,38,,W,,17,NOV,1974,2000,Female,NULLIPAROUS,Juv,"G. WESTFALL, GW-74-05",N,SKIN AND SKULL,,N,9.17,6.76,3.52,2.61,2.38,1.83,6.42,380.00,195.00,40.00,32.00,174.80
FW02904,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. S, 1 MI. W PHILOMATH",,,,,44,32,,N,123,22,,W,,10,OCT,1974,230,Male,TESTIS 6.5 X 5.5 MM,Ad,"E. RUSSELL, ER-74-3",N,SKIN AND SKULL,,N,9.09,6.52,3.42,2.63,2.28,1.80,6.13,420.00,214.00,43.00,28.00,224.00
FW02912,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,9 MI. E BEND,,,,,44,3,,N,121,7,,W,,13,OCT,1974,3500,Female,"IMPLANTATION SITES: 1L, 1R",Ad,"G. JACKSON, GSJ-74-02",N,SKIN AND SKULL,,N,9.64,7.07,3.72,2.83,2.28,1.92,6.69,348.00,147.00,40.00,35.00,211.50
FW02926,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. N, 2 MI. W TERREBONNE, UPPER DESCHUTES CANYON",,,,,44,21,,N,121,13,,W,,25,OCT,1975,3000,Female,N,Juv,"B. PRICE, -",B. VERTS,SKIN AND SKULL,,N,8.98,7.08,3.47,2.41,2.23,1.78,6.13,327.00,134.00,39.00,33.00,192.90
FW02957,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"31 MI. S, 7 MI. E BURNS, MALHEUR NWR",,,,,43,11,,N,118,56,,W,,3,OCT,1974,4200,Male,N,Ad,"G. FELDHAMER, 74-25",N,SKIN AND SKULL,,N,7.66,5.64,3.36,2.13,1.86,1.59,5.77,260.00,110.00,31.00,25.00,123.70
FW02958,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"31 MI. S, 7 MI. E BURNS, MALHEUR NWR",,,,,43,11,,N,118,56,,W,,30,SEP,1974,4200,Male,N,Ad,"G. FELDHAMER,74-29",N,SKIN AND SKULL,,N,7.81,5.37,2.86,2.16,1.84,1.60,5.29,255.00,110.00,30.00,25.00,106.09
FW03018,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"5 MI. N, 5 MI. W CORVALLIS, BERRY CREEK EXP. STAT.",,,,,44,38,,N,123,21,,W,,18,OCT,1975,250,Male,TESTIS 7 X 3 MM,Ad,"D. GREER, DG-75-2",N,SKIN AND SKULL,,N,9.28,7.72,3.41,2.88,2.53,1.97,6.36,476.00,211.00,32.00,23.00,369.20
FW03041,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"5 MI N, 5 MI W CORVALLIS, (BERRY CR EXPERIMENT STATION)",,,,,44,38,,N,123,20,,W,,21,NOV,1975,250,Female,NULLIPAROUS,Ad,"R. WOLDEIT, RLW-75-03",N,SKIN AND SKULL,,N,8.93,7.11,3.37,2.63,2.32,1.84,6.33,414.00,218.00,37.00,29.00,221.00
