RCTID,OriginalTaxon,Taxon,L-R-B,Bone,Element,Position,Teeth,Burned,Evidence,Notes,Diastema.length,Alveolar.length,M1.length,M1.Width,M2.Length,M2.Width,M3.Length,M3.Width,M1M2.Length,Crown.Height,Bchron Age,Age Bin,UO.Num,Cave,Unit,Quad,Level,Level.Verbatim
1612,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,,,not burned,,,,,3.01,2.18,,,,3.5,15736.168,Pleistocene,,5,12,A,31,31
1669,Neotoma lepida,Neotoma lepida,L,mandible,mandible,m1-m3,edent,Burned,size,m1 and m3 alveolae broken,,,,,,,,,,,6657.4,Holocene,,5,12,A,9,9
1670,Neotoma fuscipes,Neotoma fuscipes,R,maxilla,upper M1,,,,"AM groove weak/ends, no pits, size",,,,3.43,,,,,,,1.87,6142.319,Holocene,,5,5,A,18,18
1682,Neotoma sp.,Neotoma sp.,L,mandible,mandible,m3 forward,edent,burned,"size, shape",,,7.43,,,,,,,,,12786.481,Pleistocene,,5,12,A,22,22
1690,Neotoma lepida,Neotoma lepida,R,mandible,mandible,m1 forward,,,"AM groove stops before enamel cap, posterior buccal RE's same size and pinched, size",,5.31,,3.08,1.82,,,,,,2.71,2366.5575,Holocene,1704,2,4,C,13,13
1691,Neotoma lepida,Neotoma lepida,R,mandible,lower M1,,,,"AM groove stops before enamel cap, no RE pits, size",,,,3.1,1.66,,,,,,2.51,2366.5575,Holocene,1704,2,4,C,13,13
1692,Neotoma lepida,Neotoma lepida,R,mandible,lower M2,,,,Posterior buccal RE narrow and angled down,,,,,,2.75,1.94,,,,3.19,2366.5575,Holocene,1704,2,4,C,13,13
1693,Neotoma c.f. fuscipes,Neotoma cinerea,L,mandible,lower M2,,,,"Size, buccal RE shape and depth (anterior/posterior difference)",,,,,,2.55,1.92,,,,1.63,2366.5575,Holocene,1704,2,4,C,13,13
1694,Neotoma lepida,Neotoma lepida,L,maxilla,upper M1,,,,"Size, AL groove stops part way down",Broken cusps on buccal and lingual sides,,,2.81,1.76,,,,,,3.03,2366.5575,Holocene,1704,2,4,C,13,13
1695,Neotoma sp.,Neotoma sp.,L,maxilla,maxilla,m1 only,missing m1,,,"Could be socket for 1694, but not a perfect fit, uncliear if that is b/c 1694 is broken",,,,,,,,,,,2366.5575,Holocene,1704,2,4,C,13,13
1721,Neotoma lepida,Neotoma lepida,R,mandible,lower M2,,,,"Buccal RE angles, Size",,,,,,2.74,1.86,,,,,2366.5575,Holocene,1704,2,4,C,13,13
1738,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m2 forward,,,"RE pits visible at ED junction, lingual Res on m1 and m2 are open, not pinched, Size",Teeth very worn,,,3.56,2.51,2.76,2.1,,,,1.51,12848.375,Pleistocene,1734,5,5,B,29,29
1739,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,complete,missing m1,,"RE pits visible at ED junction, lingual Res on m1 and m2 are open, not pinched, Size",,,8.46,,,3.06,,2.48,,,0.96,12848.375,Pleistocene,1734,5,5,B,29,29
1859,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m1 backward,"missing m1,m2",,"Size, m3 RE pits",m1 socket broken,,,,,,,2.07,1.5,,2.07,12848.375,Pleistocene,1734,5,5,B,29,29
1860,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 backward,edent,,Size,socket edges broken,,11.5,,,,,,,,,12848.375,Pleistocene,1734,5,5,B,29,29
1861,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m1 only,,,"RE pits, broad RE's",,,,3.66,2.35,,,,,,,12848.375,Pleistocene,1734,5,5,B,29,29
1862,Neotoma cin.fusc,Neotoma cin.fusc,R,maxilla,maxilla,m1 only,edent,,Size,,,,,,,,,,,,12848.375,Pleistocene,1734,5,5,B,29,29
1863,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,upper M3,anterior half,,,"Size, cusps",,,,,,,,,,,,12848.375,Pleistocene,1734,5,5,B,29,29
1905,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,,"Broad REs, big RE pits",,,,3.62,1.86,,,,,,4.5,12848.375,Pleistocene,1734,5,5,B,29,29
1906,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m3 backward,edent,Burned,Size,,,,,,,,,,,,12848.375,Pleistocene,1734,5,5,B,29,29
1907,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,complete,missing m3,,"Lingual REs broad and open, RE pits",,,10.15,4.02,,,,,,,3.96,12848.375,Pleistocene,1734,5,5,B,29,29
1912,Neotoma lepida,Neotoma lepida,L,maxilla,maxilla,m2 forward,missing posterior m2,,"Size, enamel",,,,3.34,,,,,,,2.91,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1913,Neotoma lepida,Neotoma lepida,L,maxilla,maxilla,m1 forward,,,"Size, enamel",,,,3.27,,,,,,,1.88,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1914,Neotoma lepida,Neotoma lepida,L,mandible,mandible,complete,m1 broken,,"Size, enamel",,,7.4,2.69,,,,,,,1.74,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1915,Neotoma lepida,Neotoma lepida,L,mandible,mandible,complete,,,"Size, enamel",crumbly bone,5.73,7.39,2.62,,,,,,,2.66,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1916,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,m3 forward,,,"Size, broad buccal REs, RE pits",crumbly bone,,9.31,3.85,2,2.94,2.06,,,,4.83,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1917,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,complete,edent,burned grey,Size,"diastema broken, looks old",,9.87,,,,,,,,,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1918,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"RE pits, broad RE's",Beautiful RE pits!,,,3.73,,,,,,,5.13,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1919,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,,"RE pits, broad RE's",,,,,,2.89,,,,,5.05,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
1920,Neotoma lepida,Neotoma lepida,L,mandible,lower M2,,,,"RE angles, size",,,,,,2.39,,,,,2.33,0,Modern,,0,0,Aug 2023 Surface Sweep,Loose Bone Sample,
2013,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,complete,,,Broad REs,,,9.29,,,,,,,,,6518.627,Holocene,1704,5,12,C,14,14
2014,Neotoma lepida,Neotoma lepida,R,maxilla,maxilla,complete,,,"Size small, narrow REs, angles more similar to lepida than fuscipes",,,7.5,,,,,,,,1.81,6518.627,Holocene,1704,5,12,C,14,14
2054,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,complete,"missing m1,m3",,"Size, no RE pits, pinched RE angles",,,8.13,,,2.33,1.86,,,,,4771.8755,Holocene,1704,5,12,C,9,9
2080,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,complete,"missing m2,m3",,RE pits and shape of buccal Res,,,,3.84,2.07,,,,,,,5144.454,Holocene,1704,5,12,C,10,10
2100,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,diastema forward,,,"DL > 7.4, Size, diastema shape, foramen position",,,,,,,,,,,,7536.015,Holocene,,5,12,C,16,16
2119,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,m1 only,edent,,Alveolar pattern,,,,,,,,,,,,4771.8755,Holocene,1704,5,12,C,9,9
2156,Neotoma cin.fusc,Neotoma cin.fusc,R,maxilla,maxilla,m1-m2 only,edent,,Size,,,,,,,,,,7.97,,6857.983,Holocene,1704,5,12,C,15,15
2190,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,m3 forward,missing inc,burned,RE pits and AR groove depth,,,,,,,,,,,1.45,5144.454,Holocene,1704,5,12,C,10,10
2198,Neotoma cinerea,Neotoma cinerea,B,mandible,mandible,m1 forward,,,AR groove depth,Incisors fragmented,,,3.84,,,,,,,,5473.852,Holocene,1704,5,12,C,11,11
2199,Neotoma sp.,Neotoma sp.,R,mandible,mandible,m2 forward,missing inc,,Tooth shape,m1 fragmentary,5,,,,2.85,1.98,,,,,5473.852,Holocene,1704,5,12,C,11,11
2239,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"RE pits, anterior RE depth",,,,3.51,1.7,,,,,,3.76,4099.12875,Holocene,1704,5,12,C,7,7
2240,Neotoma lepida,Neotoma lepida,R,maxilla,maxilla,,,,90 degree angle of m3 posterior buccal RE,,,,,,,,,,,2.31,4099.12875,Holocene,1704,5,12,C,7,7
2267,Neotoma lepida,Neotoma lepida,L,mandible,mandible,m3 forward,,,"Size, AR groove depth",,5.94,7.66,2.95,,,,,,,,4099.12875,Holocene,1704,5,12,C,7,7
2268,Neotoma c.f. cinerea,Neotoma cinerea,L,mandible,mandible,m2 only,,,"Size, buccal REs",,,,,,2.66,1.75,,,,3.64,4099.12875,Holocene,1704,5,12,C,7,7
2296,Neotoma lepida,Neotoma lepida,L,mandible,mandible,m1 forward,edent,,Size,,,,,,,,,,,,4446.4985,Holocene,,5,12,C,8,8
2343,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,m3 forward,,,RE pits,,7.5,9.7,,2.07,,,,,,,3390.446,Holocene,1704,5,12,C,5,5
2344,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m3 forward,,,RE pits,,8,9.56,,1.95,,,,,,1.56,3390.446,Holocene,1704,5,12,C,5,5
2362,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,m1-m2 only,,,"RE depth, broad REs",Bag also says 5/12C-18-CleanUp in shaky handwriting.  18-7 looks like was assigned later. M1W remeasured at 1.65,,,3.58,1.65,,,,,6.59,3.03,9704.9595,Holocene,1830,5,12,C,18,18
2373,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"Anterior groove depth, RE pits",,,,3.65,1.81,,,,,,3.6,10356.74,Holocene,1830,5,12,C,19,19
2402,Neotoma lepida,Neotoma lepida,L,mandible,lower M1,,,burned,Size,,,,2.9,,,,,,,3.48,9704.9595,Holocene,,5,12,C,18,18
2403,Neotoma sp.,Neotoma sp.,L,mandible,mandible,m1-m2 only,edent,,"Size, alveolar pattern",,,,,,,,,,,,9704.9595,Holocene,,5,12,C,18,18
2404,Neotoma lepida,Neotoma lepida,L,mandible,mandible,m2 forward,"missing inc,m1",,Size,,5.67,,,,2.73,,,,,,9704.9595,Holocene,,5,12,C,18,18
2408,Neotoma lepida,Neotoma lepida,R,maxilla,upper M2,,,,Size,extremely worn,,,,,2.64,,,,,,9704.9595,Holocene,,5,12,C,18,18
